ID,name,genre
1,"Rolling Stones",Rock
2,Beatles,Rock
3,"Traveling Wilburys",Rock
4,Nirvana,Grunge
5,REM,Alternative
6,"Crazy Horse",Rock
7,Pixies,Alternative
8,"Widespread Panic",Rock
9,Jouney,Rock
10,"P Funk AllStars",Funk
11,"Def Leppard",Rock
12,Cream,Rock
13,"George Jones",Country
14,"Garth Brooks",Country
15,"Alison Kraus and Union Station",Bluegrass
16,"Alan Jackson",Country
17,"Clint Black",Country
18,"Merle Haggard",Country
19,"Hank Williams",Country
20,"Waylon Jennings",Country
21,"The Highwaymen",Country
22,"The Buckeroos",Country
23,"The Band",Country
